,ROI,runtype,component,value
441,EVC,er,13,0.5693091133377891
442,EVC,er,14,0.5742950089299654
443,EVC,er,15,0.5785653451986418
444,EVC,er,16,0.5825892189881968
445,EVC,er,17,0.5863097808053825
446,EVC,er,18,0.5898954816542143
447,EVC,er,19,0.5933725196429888
448,EVC,er,20,0.5964446149827467
449,EVC,er,21,0.5995786017009788
450,EVC,er,22,0.6023123565607934
451,EVC,er,23,0.6048506673694497
452,EVC,er,24,0.6071869061644639
453,EVC,er,25,0.6094041858970337
454,EVC,er,26,0.6115020328047941
455,EVC,er,27,0.6135089262599766
456,EVC,er,28,0.615437598748142
457,EVC,er,29,0.6172480137012488
458,EVC,er,30,0.6190145540150127
459,EVC,er,31,0.6206088431758121
460,EVC,er,32,0.6221995297086705
461,EVC,er,33,0.6238013390832828
462,EVC,er,34,0.6253253626938454
463,EVC,er,35,0.6266731610923013
464,EVC,er,36,0.6279892506738777
465,EVC,er,37,0.6292734902060292
466,EVC,er,38,0.6304177504962588
467,EVC,er,39,0.6315120341712356
